date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:08:45	40655/40655	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2021:08:44%20GMT	http://themes.suelo.pl/mi/index-it-vertical.html	D:/protfolio/themes.suelo.pl/mi/index-it-vertical.html	(from )
03:08:45	718/718	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Jul%202022%2021:08:45%20GMT	http://themes.suelo.pl/robots.txt		(from )
03:08:45	3847/3847	---M--	200	added ('OK')	image/png	etag:%225dbd30-f07-53d3fddbdf100%22	http://themes.suelo.pl/mi/assets/img/favicon.png	D:/protfolio/themes.suelo.pl/mi/assets/img/favicon.png	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:46	3872/3872	---M--	200	added ('OK')	image/png	etag:%225dbd33-f20-53d3fddbdf100%22	http://themes.suelo.pl/mi/assets/img/favicon_60x60.png	D:/protfolio/themes.suelo.pl/mi/assets/img/favicon_60x60.png	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:46	3963/3963	---M--	200	added ('OK')	image/png	etag:%225dbd34-f7b-53d3fddbdf100%22	http://themes.suelo.pl/mi/assets/img/favicon_76x76.png	D:/protfolio/themes.suelo.pl/mi/assets/img/favicon_76x76.png	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:46	4674/4674	---M--	200	added ('OK')	image/png	etag:%225dbd31-1242-53d3fddbdf100%22	http://themes.suelo.pl/mi/assets/img/favicon_120x120.png	D:/protfolio/themes.suelo.pl/mi/assets/img/favicon_120x120.png	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:46	5497/5497	---M--	200	added ('OK')	image/png	etag:%225dbd32-1579-53d3fddbdf100%22	http://themes.suelo.pl/mi/assets/img/favicon_152x152.png	D:/protfolio/themes.suelo.pl/mi/assets/img/favicon_152x152.png	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:48	223705/223705	---MCZ	200	added ('OK')	text/css	etag:W/%225dbd14-369d9-53d3fdbe4eb40%22	http://themes.suelo.pl/mi/assets/css/styles.css	D:/protfolio/themes.suelo.pl/mi/assets/css/styles.css	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:48	46021/46021	---MCZ	200	added ('OK')	text/css	etag:W/%225dbd16-b3c5-53d3fdbf42d80%22	http://themes.suelo.pl/mi/assets/css/theme.min.css	D:/protfolio/themes.suelo.pl/mi/assets/css/theme.min.css	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:48	2039/2039	---MCZ	200	added ('OK')	text/css	etag:W/%225dbd18-7f7-53d4010e1fb80%22	http://themes.suelo.pl/mi/assets/css/color/blue-beige.css	D:/protfolio/themes.suelo.pl/mi/assets/css/color/blue-beige.css	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:49	2454/2454	---MCZ	200	added ('OK')	text/css	etag:W/%225dbe33-996-53d3fdec15740%22	http://themes.suelo.pl/mi/assets/styleswitcher/styleswitcher.css	D:/protfolio/themes.suelo.pl/mi/assets/styleswitcher/styleswitcher.css	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:49	15668/15668	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2021:08:49%20GMT	http://themes.suelo.pl/mi/page-vertical.html	D:/protfolio/themes.suelo.pl/mi/page-vertical.html	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:50	91818/91818	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2021:08:49%20GMT	http://themes.suelo.pl/mi/documentation.html	D:/protfolio/themes.suelo.pl/mi/documentation.html	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:51	2127/2127	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2021:08:51%20GMT	http://themes.suelo.pl/mi/projects/project-example-it.html	D:/protfolio/themes.suelo.pl/mi/projects/project-example-it.html	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:08:51	22790/22790	---M--	200	added ('OK')	image/jpeg	etag:%225dbd46-5906-53d40129c7cc0%22	http://themes.suelo.pl/mi/assets/img/photos/it-avatar.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/it-avatar.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:00	53112/53112	---M--	200	added ('OK')	image/jpeg	etag:%225dbd67-cf78-53d40154b2200%22	http://themes.suelo.pl/mi/assets/img/projects/project-vertical01.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/projects/project-vertical01.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:01	63662/63662	---M--	200	added ('OK')	image/jpeg	etag:%225dbd64-f8ae-53d4014fed6c0%22	http://themes.suelo.pl/mi/assets/img/projects/project-square01.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/projects/project-square01.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:06	104169/104169	---M--	200	added ('OK')	image/jpeg	etag:%225dbd47-196e9-53d4012bb0140%22	http://themes.suelo.pl/mi/assets/img/photos/it-bg01.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/it-bg01.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:11	66298/66298	---M--	200	added ('OK')	image/jpeg	etag:%225dbd68-102fa-53d40155a6440%22	http://themes.suelo.pl/mi/assets/img/projects/project-vertical02.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/projects/project-vertical02.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:12	2426/2426	---M--	200	added ('OK')	image/jpeg	etag:%225dbd59-97a-53d4014387980%22	http://themes.suelo.pl/mi/assets/img/photos/testimonial-avatar01.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/testimonial-avatar01.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:12	132701/132701	---M--	200	added ('OK')	image/jpeg	etag:%225dbd65-2065d-53d40152c9d80%22	http://themes.suelo.pl/mi/assets/img/projects/project-square02.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/projects/project-square02.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:12	68297/68297	---M--	200	added ('OK')	image/jpeg	etag:%225dbd63-10ac9-53d4014ef9480%22	http://themes.suelo.pl/mi/assets/img/projects/project-horizontal01.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/projects/project-horizontal01.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:12	2998/2998	---M--	200	added ('OK')	image/jpeg	etag:%225dbd5a-bb6-53d4014387980%22	http://themes.suelo.pl/mi/assets/img/photos/testimonial-avatar02.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/testimonial-avatar02.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:13	2449/2449	---M--	200	added ('OK')	image/jpeg	etag:%225dbd5b-991-53d4014387980%22	http://themes.suelo.pl/mi/assets/img/photos/testimonial-avatar03.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/testimonial-avatar03.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:13	1932/1932	---M--	200	added ('OK')	image/jpeg	etag:%225dbd5c-78c-53d401447bbc0%22	http://themes.suelo.pl/mi/assets/img/photos/testimonial-avatar04.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/testimonial-avatar04.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:13	19396/19396	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2021:09:13%20GMT	http://themes.suelo.pl/mi/blog-post-vertical.html	D:/protfolio/themes.suelo.pl/mi/blog-post-vertical.html	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:18	85093/85093	---M--	200	added ('OK')	image/jpeg	etag:%225dbd66-14c65-53d40153bdfc0%22	http://themes.suelo.pl/mi/assets/img/projects/project-square03.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/projects/project-square03.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:19	3968/3968	---M--	200	added ('OK')	image/jpeg	etag:%225dbd45-f80-53d40129c7cc0%22	http://themes.suelo.pl/mi/assets/img/photos/it-avatar-96x96.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/it-avatar-96x96.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:19	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%221234fd1a8bc172acec9699b909181a52%22	http://connect.facebook.net/en_US/sdk.js	D:/protfolio/connect.facebook.net/en_US/sdk.js	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:24	66910/66910	---M--	200	added ('OK')	image/jpeg	etag:%225dbd57-1055e-53d401419f500%22	http://themes.suelo.pl/mi/assets/img/photos/post02.jpg	D:/protfolio/themes.suelo.pl/mi/assets/img/photos/post02.jpg	(from http://themes.suelo.pl/mi/index-it-vertical.html)
03:09:25	95957/95957	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dbe21-176d5-53d3fde197e80%22	http://themes.suelo.pl/mi/assets/js/jquery-1.11.3.min.js	D:/protfolio/themes.suelo.pl/mi/assets/js/jquery-1.11.3.min.js	(from http://themes.suelo.pl/mi/index-it-vertical.html)
